onset	duration	trial_type	stim_file	mainLanguage	foreignLanguage	identifier
0.0	12.0	fix	n/a	French	English	aliceloc
12.0	12.0	fix	n/a	French	English	aliceloc
24.0	18.1419236665515	foreignDegraded	aliceloc_nebula101/English/foreignDegraded/17_degraded.wav	French	English	aliceloc
42.1419236665515	18.005861995239698	intact	aliceloc_nebula101/French/intact/12_intact.wav	French	English	aliceloc
60.1477856617912	17.980219504419402	degraded	aliceloc_nebula101/French/degraded/9_degraded.wav	French	English	aliceloc
78.1280051662106	18.0059881945581	foreign	aliceloc_nebula101/English/foreign/2_intact.wav	French	English	aliceloc
96.1339933607687	18.006002601927307	foreign	aliceloc_nebula101/English/foreign/18_intact.wav	French	English	aliceloc
114.139995962696	18.005957741611994	degraded	aliceloc_nebula101/French/degraded/13_degraded.wav	French	English	aliceloc
132.145953704308	18.00594427176901	intact	aliceloc_nebula101/French/intact/22_intact.wav	French	English	aliceloc
150.151897976077	17.84810202392299	foreignDegraded	aliceloc_nebula101/English/foreignDegraded/23_degraded.wav	French	English	aliceloc
168.0	12.0	fix	n/a	French	English	aliceloc
180.0	18.142154926871	foreignDegraded	aliceloc_nebula101/English/foreignDegraded/11_degraded.wav	French	English	aliceloc
198.142154926871	18.005953941607004	intact	aliceloc_nebula101/French/intact/6_intact.wav	French	English	aliceloc
216.148108868478	17.980089059525	degraded	aliceloc_nebula101/French/degraded/1_degraded.wav	French	English	aliceloc
234.128197928003	18.005989724716983	foreign	aliceloc_nebula101/English/foreign/24_intact.wav	French	English	aliceloc
252.13418765272	18.006047966667012	foreign	aliceloc_nebula101/English/foreign/22_intact.wav	French	English	aliceloc
270.140235619387	18.00587279818501	degraded	aliceloc_nebula101/French/degraded/3_degraded.wav	French	English	aliceloc
288.146108417572	18.00592811734697	intact	aliceloc_nebula101/French/intact/4_intact.wav	French	English	aliceloc
306.152036534919	17.847963465081023	foreignDegraded	aliceloc_nebula101/English/foreignDegraded/3_degraded.wav	French	English	aliceloc
324.0	12.0	fix	n/a	French	English	aliceloc
336.0	12.0	fix	n/a	French	English	aliceloc
