participant_id	score_rater1	score_rater2	trial_type
sub-pp169	20.0	20.0	1_ga_n
sub-pp169	20.0	20	1_ga_n_1
sub-pp169	20.0	20.0	1_ga_n_2
sub-pp169	20.0	20.0	1_gaza_n
sub-pp169	20.0	20	1_gaza_n_1
sub-pp169	20.0	20.0	1_gaza_n_2
sub-pp169	11.0	16.0	1_gha_nn
sub-pp169	11.0	16.0	1_gha_nn_1
sub-pp169	14.0	16.0	1_gha_nn_2
sub-pp169	10.0	14.0	1_ghaza_nn
sub-pp169	10.0	14.0	1_ghaza_nn 
sub-pp169	10.0	16.0	1_ghaza_nn_1
sub-pp169	10.0	12.0	2_gho_nn
sub-pp169	11.0	12	2_gho_nn_1
sub-pp169	10.0	12.0	2_gho_nn_2
sub-pp169	10.0	12.0	2_ghormeh_nn
sub-pp169	10.0	12.0	2_ghormeh_nn_1
sub-pp169	10.0	12.0	2_ghormeh_nn_2
sub-pp169	20.0	20.0	2_go_n
sub-pp169	20.0	20.0	2_go_n_1
sub-pp169	20.0	20.0	2_go_n_2
sub-pp169	20.0	20.0	2_gormeh_n
sub-pp169	20.0	20.0	2_gormeh_n_1
sub-pp169	20.0	20.0	2_gormeh_n_2
sub-pp169	20.0	20.0	3_ge_n
sub-pp169	20.0	20.0	3_ge_n_1
sub-pp169	20.0	20.0	3_ge_n_2
sub-pp169	20.0	20.0	3_gesseh_n
sub-pp169	20.0	20.0	3_gesseh_n_1
sub-pp169	20.0	20.0	3_gesseh_n_2
sub-pp169	12.0	12	3_ghe_nn
sub-pp169	12.0	16	3_ghe_nn_1
sub-pp169	12.0	16.0	3_ghe_nn_2
sub-pp169	13.0	16	3_ghesseh_nn
sub-pp169	13.0	0	3_ghesseh_nn_1
sub-pp169	10.0	14	3_ghesseh_nn_2
sub-pp169	11.0	14.0	4_ghi_nn
sub-pp169	13.0	14.0	4_ghi_nn_1
sub-pp169	12.0	16.0	4_ghi_nn_2
sub-pp169	12.0	16.0	4_ghisseh_nn
sub-pp169	12.0	16	4_ghisseh_nn_1
sub-pp169	12.0	16.0	4_ghisseh_nn_2
sub-pp169	20.0	20.0	4_gi_n
sub-pp169	20.0	20.0	4_gi_n_1
sub-pp169	20.0	20.0	4_gi_n_2
sub-pp169	20.0	20.0	4_gisseh_n
sub-pp169	20.0	20.0	4_gisseh_n_1
sub-pp169	20.0	20.0	4_gisseh_n_2
sub-pp169	13.0	12.0	5_ghoo_nn
sub-pp169	5.0	12.0	5_ghoo_nn_1
sub-pp169	11.0	12.0	5_ghoo_nn_2
sub-pp169	11.0	12.0	5_ghoo_nn_3
sub-pp169	10.0	12.0	5_ghooloom_nn
sub-pp169	10.0	12	5_ghooloom_nn_1
sub-pp169	10.0	14.0	5_ghooloom_nn_2
sub-pp169	12.0	14.0	5_ghooloom_nn_3
sub-pp169	20.0	20.0	5_goo_n
sub-pp169	20.0	20.0	5_goo_n_1
sub-pp169	20.0	20.0	5_goo_n_2
sub-pp169	20.0	20.0	5_gooloom_n
sub-pp169	20.0	20.0	5_gooloom_n_1
sub-pp169	20.0	20.0	5_gooloom_n_2
sub-pp169	20.0	20.0	5_gooloom_n_3
sub-pp169	20.0	20.0	6_ga_n
sub-pp169	20.0	20.0	6_ga_n_1
sub-pp169	20.0	20	6_ga_n_2
sub-pp169	20.0	20.0	6_gali_n
sub-pp169	20.0	20.0	6_gali_n_1
sub-pp169	20.0	20	6_gali_n_2
sub-pp169	14.0	14.0	6_gha_nn
sub-pp169	15.0	16.0	6_gha_nn_1
sub-pp169	15.0	16.0	6_gha_nn_2
sub-pp169	14.0	16.0	6_ghali_nn
sub-pp169	11.0	16.0	6_ghali_nn_1
sub-pp169	10.0	12	6_ghali_nn_2
