onset	duration	trial_type	stim_file	mainLanguage	foreignLanguage	identifier
0.0	12.0	fix	n/a	French	English	aliceloc
12.0	12.0	fix	n/a	French	English	aliceloc
24.0	18.1425017414913	foreignDegraded	aliceloc_nebula101/English/foreignDegraded/11_degraded.wav	French	English	aliceloc
42.1425017414913	18.005972690141796	intact	aliceloc_nebula101/French/intact/6_intact.wav	French	English	aliceloc
60.1484744316331	17.980259210315104	degraded	aliceloc_nebula101/French/degraded/19_degraded.wav	French	English	aliceloc
78.1287336419482	18.006057889451796	foreign	aliceloc_nebula101/English/foreign/16_intact.wav	French	English	aliceloc
96.1347915314	18.015008647395007	foreign	aliceloc_nebula101/English/foreign/12_intact.wav	French	English	aliceloc
114.149800178795	17.980204457370007	degraded	aliceloc_nebula101/French/degraded/23_degraded.wav	French	English	aliceloc
132.130004636165	18.005972094556995	intact	aliceloc_nebula101/French/intact/2_intact.wav	French	English	aliceloc
150.135976730722	17.864023269277993	foreignDegraded	aliceloc_nebula101/English/foreignDegraded/3_degraded.wav	French	English	aliceloc
168.0	12.0	fix	n/a	French	English	aliceloc
180.0	18.152026899545007	foreignDegraded	aliceloc_nebula101/English/foreignDegraded/13_degraded.wav	French	English	aliceloc
198.152026899545	17.980090657369004	intact	aliceloc_nebula101/French/intact/16_intact.wav	French	English	aliceloc
216.132117556914	18.00582734455699	degraded	aliceloc_nebula101/French/degraded/13_degraded.wav	French	English	aliceloc
234.137944901471	18.006097344557986	foreign	aliceloc_nebula101/English/foreign/22_intact.wav	French	English	aliceloc
252.144042246029	18.005994394555984	foreign	aliceloc_nebula101/English/foreign/4_intact.wav	French	English	aliceloc
270.150036640585	17.980220957372012	degraded	aliceloc_nebula101/French/degraded/9_degraded.wav	French	English	aliceloc
288.130257597957	18.005947894554993	intact	aliceloc_nebula101/French/intact/14_intact.wav	French	English	aliceloc
306.136205492512	17.863794507488024	foreignDegraded	aliceloc_nebula101/English/foreignDegraded/15_degraded.wav	French	English	aliceloc
324.0	12.0	fix	n/a	French	English	aliceloc
336.0	12.0	fix	n/a	French	English	aliceloc
